Employee_Name,EmpID,DeptID,PerfScoreID,Salary,ManagerName,ManagerID,DateofHire,EmpStatus,Email
"Adinolfi, Wilson",10026,5,4,62506,Michael Albert,22,7/5/11,FT,Adinolfi@corpmail.com
"Ait Sidi, Karthikeyan   ",10084,3,3,104437,Simon Roup,4,3/30/2015,PT,Ait Sidi@corpmail.com
"Akinkuolie, Sarah",10196,5,3,64955,Kissy Sullivan,20,7/5/11,C,Akinkuolie@corpmail.com
"Alagbe,Trina",10088,5,3,64991,Elijiah Gray,16,1/7/08,C,Alagbe@corpmail.com
"Anderson, Carol ",10069,5,3,50825,Webster Butler,39,7/11/11,FT,Anderson@corpmail.com
"Anderson, Linda  ",10002,5,4,57568,Amy Dunn,11,1/9/12,FT,Anderson@corpmail.com
"Andreola, Colby",10194,4,3,95660,Alex Sweetwater,10,11/10/14,FT,Andreola@corpmail.com
"Athwal, Sam",10062,5,3,59365,Ketsia Liebig,19,9/30/2013,FT,Athwal@corpmail.com
"Bachiochi, Linda",10114,5,3,47837,Brannon Miller,12,7/6/09,PT,Bachiochi@corpmail.com
"Bacong, Alejandro ",10250,3,3,50178,Peter Monroe,7,1/5/15,PT,Bacong@corpmail.com
"Baczenski, Rachael  ",10252,5,3,54670,David Stanley,14,1/10/11,FT,Baczenski@corpmail.com
"Barbara, Thomas",10242,5,3,47211,Kissy Sullivan,20,4/2/12,FT,Barbara@corpmail.com
"Barbossa, Hector",10012,3,4,92328,Simon Roup,4,11/10/14,PT,Barbossa@corpmail.com
"Barone, Francesco",10265,5,3,58709,Kelley Spirea,18,2/20/2012,C,Barone@corpmail.com
"Barton, Nader",10066,5,3,52505,Michael Albert,22,9/24/2012,C,Barton@corpmail.com
"Bates, Norman",10061,5,3,57834,Kelley Spirea,18,2/21/2011,FT,Bates@corpmail.com
"Beak, Kimberly  ",10023,5,4,70131,Kelley Spirea,18,7/21/2016,FT,Beak@corpmail.com
"Beatrice, Courtney ",10055,5,3,59026,Elijiah Gray,16,4/4/11,FT,Beatrice@corpmail.com
"Becker, Renee",10245,3,3,110000,Simon Roup,4,7/7/14,FT,Becker@corpmail.com
"Becker, Scott",10277,5,3,53250,Webster Butler,39,7/8/13,PT,Becker@corpmail.com
"Bernstein, Sean",10046,5,3,51044,Amy Dunn,11,4/2/12,PT,Bernstein@corpmail.com
"Biden, Lowan",10226,5,3,64919,Ketsia Liebig,19,8/19/2013,FT,Biden@corpmail.com
"Billis, Helen",10003,5,4,62910,Brannon Miller,12,7/7/14,PT,Billis@corpmail.com
"Blount, Dianna",10294,5,2,66441,Michael Albert,22,4/4/11,C,Blount@corpmail.com
"Bondwell, Betsy",10267,5,3,57815,Elijiah Gray,16,1/10/11,C,Bondwell@corpmail.com
"Booth, Frank",10199,3,3,103613,Simon Roup,4,2/17/2014,FT,Booth@corpmail.com
"Boutwell, Bonalyn",10081,1,3,106367,Brandon R. LeBlanc,3,2/16/2015,FT,Boutwell@corpmail.com
"Bozzi, Charles",10175,5,3,74312,Janet King,2,9/30/2013,FT,Bozzi@corpmail.com
"Brill, Donna",10177,5,3,53492,David Stanley,14,4/2/12,FT,Brill@corpmail.com
"Brown, Mia",10238,1,3,63000,Brandon R. LeBlanc,1,10/27/2008,PT,Brown@corpmail.com
"Buccheri, Joseph  ",10184,5,3,65288,Webster Butler,39,9/29/2014,PT,Buccheri@corpmail.com
"Bugali, Josephine ",10203,5,3,64375,Kissy Sullivan,20,11/11/13,FT,Bugali@corpmail.com
"Bunbury, Jessica",10188,6,3,74326,John Smith,17,8/15/2011,FT,Bunbury@corpmail.com
"Burke, Joelle",10107,5,3,63763,Amy Dunn,11,3/5/12,PT,Burke@corpmail.com
"Burkett, Benjamin ",10181,5,3,62162,Ketsia Liebig,19,4/4/11,C,Burkett@corpmail.com
"Cady, Max ",10150,4,3,77692,Jennifer Zamora,5,8/15/2011,C,Cady@corpmail.com
"Candie, Calvin",10001,5,4,72640,Janet King,2,1/28/2016,FT,Candie@corpmail.com
"Carabbio, Judith",10085,4,3,93396,Alex Sweetwater,10,11/11/13,FT,Carabbio@corpmail.com
"Carey, Michael  ",10115,5,3,52846,Kelley Spirea,18,3/31/2014,FT,Carey@corpmail.com
"Carr, Claudia",10082,3,3,100031,Simon Roup,4,6/30/2016,FT,Carr@corpmail.com
"Carter, Michelle ",10040,6,3,71860,John Smith,17,8/18/2014,PT,Carter@corpmail.com
"Chace, Beatrice ",10067,5,3,61656,Michael Albert,22,9/29/2014,PT,Chace@corpmail.com
"Champaigne, Brian",10108,3,3,110929,Jennifer Zamora,5,9/6/16,FT,Champaigne@corpmail.com
"Chan, Lin",10210,5,3,54237,Elijiah Gray,16,5/12/14,PT,Chan@corpmail.com
"Chang, Donovan",10154,5,3,60380,Webster Butler,39,7/8/13,C,Chang@corpmail.com
"Chigurh, Anton",10200,6,3,66808,Lynn Daneault,21,5/14/2012,C,Chigurh@corpmail.com
"Chivukula, Enola",10240,5,3,64786,Amy Dunn,11,6/27/2011,FT,Chivukula@corpmail.com
"Cierpiszewski, Caroline  ",10168,5,3,64816,Ketsia Liebig,19,10/3/11,FT,Cierpiszewski@corpmail.com
"Clayton, Rick",10220,3,3,68678,Eric Dougall,6,9/5/12,FT,Clayton@corpmail.com
"Cloninger, Jennifer",10275,5,3,64066,Brannon Miller,12,5/16/2011,FT,Cloninger@corpmail.com
"Close, Phil",10269,5,3,59369,David Stanley,14,8/30/2010,PT,Close@corpmail.com
"Clukey, Elijian",10029,5,4,50373,Brannon Miller,12,7/6/16,PT,Clukey@corpmail.com
"Cockel, James",10261,5,3,63108,David Stanley,14,7/8/13,FT,Cockel@corpmail.com
"Cole, Spencer",10292,5,2,59144,Kissy Sullivan,20,7/11/11,FT,Cole@corpmail.com
"Corleone, Michael",10282,5,2,68051,Janet King,2,7/20/2010,PT,Corleone@corpmail.com
"Corleone, Vito",10019,5,4,170500,Janet King,2,1/5/09,C,Corleone@corpmail.com
